game_index,category,split,seed,lineup,rewards,statuses,winners
2,without_mine,train,20260618,best smith,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""best""]"
3,without_mine,train,20260619,intruder smith,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""intruder""]"
1,without_mine,train,20260617,best intruder,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""best""]"
5,without_mine,train,20260621,intruder 1200,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""intruder""]"
4,without_mine,train,20260620,best 1200,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""best""]"
6,without_mine,train,20260622,best 1039,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""best""]"
7,without_mine,train,20260623,intruder 1039,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""intruder""]"
8,without_mine,train,20260624,best intruder smith 1200,"[-1.0, 1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
12,without_mine,train,20260628,best smith,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""best""]"
9,without_mine,train,20260625,best intruder smith 1039,"[-1.0, 1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
13,without_mine,train,20260629,intruder smith,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""intruder""]"
10,without_mine,train,20260626,best intruder 1200 1039,"[1.0, -1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""best""]"
11,without_mine,train,20260627,best intruder,"[-1.0, 1.0]","[""DONE"", ""DONE""]","[""intruder""]"
15,without_mine,train,20260631,intruder 1200,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""intruder""]"
14,without_mine,train,20260630,best 1200,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""best""]"
17,without_mine,train,20260633,intruder 1039,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""intruder""]"
16,without_mine,train,20260632,best 1039,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""best""]"
19,without_mine,train,20260635,best intruder smith 1039,"[1.0, -1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""best""]"
22,without_mine,train,20260638,best smith,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""best""]"
20,without_mine,train,20260636,best intruder 1200 1039,"[1.0, -1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""best""]"
21,without_mine,train,20260637,best intruder,"[-1.0, 1.0]","[""DONE"", ""DONE""]","[""intruder""]"
23,without_mine,train,20260639,intruder smith,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""intruder""]"
18,without_mine,train,20260634,best intruder smith 1200,"[-1.0, 1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
27,without_mine,train,20260643,intruder 1039,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""intruder""]"
24,without_mine,train,20260640,best 1200,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""best""]"
25,without_mine,train,20260641,intruder 1200,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""intruder""]"
30,without_mine,train,20260646,best intruder 1200 1039,"[-1.0, 1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
28,without_mine,train,20260644,best intruder smith 1200,"[-1.0, 1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
26,without_mine,train,20260642,best 1039,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""best""]"
32,without_mine,train,20260648,best smith,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""best""]"
33,without_mine,train,20260649,intruder smith,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""intruder""]"
31,without_mine,train,20260647,best intruder,"[-1.0, 1.0]","[""DONE"", ""DONE""]","[""intruder""]"
34,without_mine,train,20260650,best 1200,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""best""]"
35,without_mine,train,20260651,intruder 1200,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""intruder""]"
36,without_mine,train,20260652,best 1039,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""best""]"
37,without_mine,train,20260653,intruder 1039,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""intruder""]"
29,without_mine,train,20260645,best intruder smith 1039,"[-1.0, -1.0, -1.0, 1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""1039""]"
38,without_mine,train,20260654,best intruder smith 1200,"[-1.0, 1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
41,without_mine,train,20260657,best intruder,"[-1.0, 1.0]","[""DONE"", ""DONE""]","[""intruder""]"
42,without_mine,train,20260658,best smith,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""best""]"
40,without_mine,train,20260656,best intruder 1200 1039,"[1.0, -1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""best""]"
43,without_mine,train,20260659,intruder smith,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""intruder""]"
39,without_mine,train,20260655,best intruder smith 1039,"[1.0, -1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""best""]"
44,without_mine,train,20260660,best 1200,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""best""]"
47,without_mine,train,20260663,intruder 1039,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""intruder""]"
45,without_mine,train,20260661,intruder 1200,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""intruder""]"
46,without_mine,train,20260662,best 1039,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""best""]"
51,without_mine,train,20260667,best intruder,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""best""]"
50,without_mine,train,20260666,best intruder 1200 1039,"[-1.0, 1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
49,without_mine,train,20260665,best intruder smith 1039,"[-1.0, 1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
52,without_mine,train,20260668,best smith,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""best""]"
53,without_mine,train,20260669,intruder smith,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""intruder""]"
56,without_mine,train,20260672,best 1039,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""best""]"
55,without_mine,train,20260671,intruder 1200,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""intruder""]"
48,without_mine,train,20260664,best intruder smith 1200,"[-1.0, -1.0, -1.0, 1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""1200""]"
57,without_mine,train,20260673,intruder 1039,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""intruder""]"
54,without_mine,train,20260670,best 1200,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""best""]"
60,without_mine,train,20260676,best intruder 1200 1039,"[1.0, -1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""best""]"
59,without_mine,train,20260675,best intruder smith 1039,"[1.0, -1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""best""]"
61,without_mine,train,20260677,best intruder,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""best""]"
58,without_mine,train,20260674,best intruder smith 1200,"[-1.0, 1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
