split,category,lineup,player,step,target_win,role,phase,target_owner_group,target_quadrant,action_target,sample_weight,sample_kind,compare_target_id,sun_penalty,long_flight_penalty,opportunity_penalty,overtake_bonus,board_ownership_bonus,projected_overtake_count,overtake_focus_weight,trend_identity,pressure_reason,pressure_target_id,pressure_quadrant,pressure_source_count,pressure_fleet_count,pressure_hostile_ships,pressure_projected_defense,pressure_defense_ratio,pressure_eta_spread
train,without_mine,best smith,best,0,1,anchor,initiation,neutral,Q3_NE,0.182018,1.785022,chosen_action,,0.0,0.18,0.4,0.13258,0.3458,0.0,1.785022,neutral,neutral,,,0,0,0,0.0,0.0,0.0
train,without_mine,best smith,best,20,1,expander,expansion,neutral,Q0_SE,0.534667,1.782565,chosen_action,,0.0,0.18,0.387505,0.108539,0.38672,0.0,1.782565,cash_in,cash_in,,,0,0,0,0.0,0.0,0.0
train,without_mine,best smith,best,50,1,expander,attack,neutral,Q3_NE,1.0,2.362586,chosen_action,,0.0,0.147447,0.017079,0.230829,0.59896,0.0,2.362586,cash_in,cash_in,,,0,0,0,0.0,0.0,0.0
train,without_mine,best smith,best,50,1,expander,attack,enemy,Q2_NW,0.289012,3.221468,chosen_action,,0.95,0.18,0.172517,0.359187,0.562533,0.0,3.221468,cash_in,cash_in,,,0,0,0,0.0,0.0,0.0
train,without_mine,best smith,best,60,1,anchor,attack,friendly,Q1_SW,0.099294,1.769026,chosen_action,,0.95,0.18,0.055483,0.16214,0.2814,0.0,1.769026,pressured,concentrated_inbound,14,Q1_SW,2,2,107,141.0,0.7589,3.433
train,without_mine,best smith,best,60,1,expander,attack,neutral,Q1_SW,0.334536,2.118488,chosen_action,,0.0,0.18,0.111008,0.179364,0.50964,0.0,2.118488,pressured,concentrated_inbound,14,Q1_SW,2,2,107,141.0,0.7589,3.433
train,without_mine,best smith,best,70,1,expander,attack,enemy,Q2_NW,1.0,2.81104,chosen_action,,0.0,0.18,0.034024,0.296015,0.370818,0.0,2.81104,pressured,concentrated_inbound,2,Q3_NE,5,5,195,170.0,1.1471,8.465
train,without_mine,best smith,best,70,1,expander,attack,enemy,Q2_NW,0.910166,2.536172,chosen_action,,0.0,0.18,0.110367,0.214539,0.312058,0.0,2.536172,pressured,concentrated_inbound,2,Q3_NE,5,5,195,170.0,1.1471,8.465
train,without_mine,best smith,smith,70,0,expander,attack,enemy,Q1_SW,0.493336,3.592425,chosen_action,,0.0,0.18,0.01588,0.49054,0.307502,0.0,3.592425,chasing_leader,leader_target,,,0,0,0,0.0,0.0,0.0
train,without_mine,best smith,smith,70,0,attacker,attack,enemy,Q1_SW,0.528185,3.876592,chosen_action,,0.0,0.18,0.018218,0.619203,0.289262,0.0,3.876592,overtake_window,overtake_window,,,0,0,0,0.0,0.0,0.0
