epoch,train_loss,test_loss,train_acc,test_acc,lr
1,1.01867,1.035966,0.518371,0.533756,0.04
2,0.973317,0.990411,0.52951,0.547243,0.04
3,0.934827,0.951572,0.552863,0.559375,0.04
4,0.902048,0.918406,0.571513,0.575835,0.04
5,0.874005,0.889947,0.585694,0.587705,0.04
6,0.849605,0.865139,0.598872,0.59551,0.04
7,0.828431,0.843569,0.60875,0.608091,0.04
8,0.809778,0.824582,0.618549,0.61523,0.04
9,0.793365,0.807822,0.626212,0.628944,0.04
10,0.778891,0.793044,0.634095,0.632926,0.04
11,0.766018,0.779887,0.638686,0.638343,0.04
12,0.754537,0.768155,0.648562,0.647219,0.04
